                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.97892,                 1.0505,                  1.357,                0.74441,                0.73077,                0.77307,                0.46841,                 1.2833,                 1.3331,                 1.7176,              0.0014739,              0.0014739,              0.0014739
                     95,                0.98202,                 1.0342,                 1.3589,                0.68464,                0.72369,                0.73052,                0.44438,                 1.3028,                 1.4475,                 1.6844,              0.0014682,              0.0014682,              0.0014682
                     96,                0.96644,                 1.0462,                 1.3379,                0.76982,                0.71795,                0.75977,                0.46687,                 1.2249,                 1.4324,                 1.5938,              0.0014626,              0.0014626,              0.0014626
                     97,                0.96125,                 1.0684,                 1.3689,                0.79435,                0.69331,                0.74579,                0.45823,                 1.3099,                 1.3354,                 1.6896,              0.0014569,              0.0014569,              0.0014569
                     98,                  1.017,                 1.1062,                 1.3677,                0.74232,                0.66482,                0.74319,                0.47239,                 1.2441,                 1.2218,                 1.6221,              0.0014513,              0.0014513,              0.0014513
                     99,                0.99353,                 1.0825,                 1.3641,                0.87086,                0.67949,                 0.7978,                0.49276,                 1.2088,                 1.3492,                 1.5759,              0.0014456,              0.0014456,              0.0014456
                    100,                0.95121,                 1.0098,                 1.3361,                0.69745,                0.76843,                0.77471,                0.48948,                 1.1036,                 1.3717,                 1.4702,              0.0014399,              0.0014399,              0.0014399
                    101,                0.93974,                 1.0271,                 1.3663,                0.69121,                0.74359,                0.79184,                0.49561,                 1.1973,                 1.3089,                 1.5573,              0.0014343,              0.0014343,              0.0014343
                    102,                0.97409,                 1.0435,                 1.3507,                0.83774,                0.72816,                0.77164,                0.44737,                 1.2878,                 1.4065,                 1.6611,              0.0014286,              0.0014286,              0.0014286
                    103,                0.97953,                 1.0484,                 1.3407,                0.77795,                0.76923,                0.76005,                0.46925,                 1.2234,                 1.4205,                 1.6034,               0.001423,               0.001423,               0.001423
                    104,                0.93604,                 1.0212,                 1.3418,                0.76149,                0.77775,                0.83506,                0.50615,                 1.2109,                 1.2398,                 1.5817,              0.0014173,              0.0014173,              0.0014173
                    105,                0.94949,                0.98125,                 1.3316,                0.79512,                0.75641,                 0.8139,                0.49221,                  1.275,                 1.4303,                 1.6779,              0.0014117,              0.0014117,              0.0014117
                    106,                 0.9116,                0.92597,                 1.3047,                0.71075,                0.74359,                0.74417,                0.47195,                 1.2226,                 1.2928,                 1.5993,               0.001406,               0.001406,               0.001406
                    107,                0.99956,                  1.059,                 1.3616,                0.79378,                0.66667,                 0.7401,                0.46931,                 1.1795,                 1.4431,                 1.5419,              0.0014003,              0.0014003,              0.0014003
                    108,                 1.0146,                 1.0679,                  1.372,                0.74355,                0.65385,                0.70773,                0.41962,                 1.1874,                 1.4965,                 1.5853,              0.0013947,              0.0013947,              0.0013947
                    109,                0.97757,                 1.0296,                 1.3623,                0.85229,                 0.7398,                0.80639,                 0.5072,                 1.2241,                 1.2499,                 1.5913,               0.001389,               0.001389,               0.001389
                    110,                0.93706,                0.99706,                 1.3316,                0.71405,                0.70432,                0.72734,                 0.4848,                  1.177,                 1.2302,                 1.5385,              0.0013834,              0.0013834,              0.0013834
                    111,                0.98131,                  1.068,                 1.3767,                 0.7843,                0.65265,                0.75629,                0.47502,                 1.2173,                 1.2764,                 1.5561,              0.0013777,              0.0013777,              0.0013777
                    112,                 0.9649,                 1.0145,                 1.3614,                0.76959,                0.71795,                0.77571,                0.47732,                 1.2156,                 1.2416,                 1.5787,              0.0013721,              0.0013721,              0.0013721
                    113,                0.95318,                0.99165,                 1.3357,                0.79587,                0.70513,                0.80403,                0.48656,                 1.2495,                 1.4032,                 1.6444,              0.0013664,              0.0013664,              0.0013664
                    114,                0.94228,                 1.0266,                 1.3565,                0.74632,                0.70513,                0.73079,                0.45609,                 1.1787,                 1.4556,                 1.5576,              0.0013607,              0.0013607,              0.0013607
                    115,                0.90875,                0.94371,                 1.3016,                0.81873,                0.65385,                0.76989,                0.48284,                 1.2376,                 1.2846,                 1.6575,              0.0013551,              0.0013551,              0.0013551
                    116,                0.93511,                0.95532,                 1.3157,                0.83534,                0.73077,                0.81098,                0.51935,                  1.256,                 1.3296,                 1.6477,              0.0013494,              0.0013494,              0.0013494
                    117,                0.90606,                0.94299,                  1.315,                0.81167,                0.74359,                0.79938,                0.52136,                 1.1717,                 1.2183,                 1.5494,              0.0013438,              0.0013438,              0.0013438
                    118,                0.92572,                0.98165,                 1.3124,                0.85401,                0.67502,                0.79214,                0.51668,                 1.1835,                 1.2533,                 1.5346,              0.0013381,              0.0013381,              0.0013381
                    119,                0.93359,                0.95688,                 1.2998,                0.70607,                0.69231,                0.73649,                0.46661,                 1.2579,                 1.2946,                 1.5807,              0.0013325,              0.0013325,              0.0013325
                    120,                0.91531,                0.97759,                 1.3019,                0.71417,                0.65385,                0.72438,                0.48583,                 1.1381,                 1.4289,                  1.518,              0.0013268,              0.0013268,              0.0013268
                    121,                0.87537,                0.95247,                 1.2784,                0.83799,                0.66316,                0.78698,                0.50139,                  1.126,                 1.3129,                  1.514,              0.0013211,              0.0013211,              0.0013211
                    122,                0.87424,                 0.9153,                 1.3036,                0.78657,                0.78205,                 0.8344,                0.53088,                 1.1683,                 1.2018,                 1.5449,              0.0013155,              0.0013155,              0.0013155
                    123,                0.92461,                0.94765,                 1.3084,                0.69296,                0.71795,                0.79119,                0.49668,                 1.1526,                 1.3675,                 1.5323,              0.0013098,              0.0013098,              0.0013098
                    124,                0.90424,                0.95884,                 1.2988,                0.72949,                0.80769,                0.79028,                0.50303,                  1.133,                 1.2663,                   1.51,              0.0013042,              0.0013042,              0.0013042
                    125,                0.90577,                0.96355,                 1.3319,                 0.8034,                0.75641,                0.79457,                0.51864,                 1.1268,                   1.19,                 1.4822,              0.0012985,              0.0012985,              0.0012985
                    126,                0.91528,                0.96694,                  1.314,                0.84736,                0.71795,                0.82765,                0.49822,                 1.1947,                 1.1403,                 1.5275,              0.0012929,              0.0012929,              0.0012929
                    127,                0.86814,                0.90145,                  1.282,                0.70133,                0.79487,                  0.794,                0.48433,                 1.1598,                 1.2586,                 1.5339,              0.0012872,              0.0012872,              0.0012872
                    128,                0.91006,                0.98269,                 1.3018,                0.76184,                0.80769,                0.83645,                0.52623,                 1.1744,                 1.2281,                 1.5788,              0.0012815,              0.0012815,              0.0012815
                    129,                0.92588,                0.96629,                 1.3137,                0.82291,                0.74359,                0.83132,                0.51498,                 1.1787,                 1.2275,                 1.5559,              0.0012759,              0.0012759,              0.0012759
                    130,                0.92306,                0.99411,                 1.3163,                0.73482,                0.74607,                0.77426,                0.49485,                 1.1799,                 1.3273,                 1.5441,              0.0012702,              0.0012702,              0.0012702
                    131,                0.93136,                0.98092,                 1.3087,                 0.8315,                0.75922,                0.79513,                 0.4925,                 1.2248,                 1.2301,                 1.5844,              0.0012646,              0.0012646,              0.0012646
                    132,                0.91367,                0.94069,                 1.3095,                0.66316,                0.73198,                0.74849,                0.47971,                 1.2066,                 1.3532,                 1.5474,              0.0012589,              0.0012589,              0.0012589
                    133,                0.87618,                0.93337,                 1.2858,                0.79289,                0.78535,                0.80063,                0.50056,                 1.2033,                 1.3376,                 1.5375,              0.0012533,              0.0012533,              0.0012533
                    134,                0.90072,                0.92243,                  1.315,                0.76507,                0.71795,                0.76643,                0.46264,                 1.2108,                 1.3741,                 1.5964,              0.0012476,              0.0012476,              0.0012476
                    135,                0.90293,                0.91538,                 1.2975,                0.85211,                0.75641,                0.83169,                0.51696,                 1.1759,                 1.1172,                 1.5528,              0.0012419,              0.0012419,              0.0012419
                    136,                0.88831,                0.90564,                 1.2874,                0.81824,                0.71795,                0.78554,                0.50564,                 1.1467,                 1.2848,                 1.5046,              0.0012363,              0.0012363,              0.0012363
                    137,                0.85501,                0.86313,                 1.2335,                0.79713,                0.78205,                0.79331,                0.50469,                  1.108,                 1.2425,                  1.498,              0.0012306,              0.0012306,              0.0012306
                    138,                0.88922,                0.89932,                 1.2984,                 0.8011,                0.77457,                0.77662,                0.49381,                 1.1551,                 1.3045,                 1.5356,               0.001225,               0.001225,               0.001225
                    139,                0.87527,                0.90812,                 1.2895,                0.82582,                0.80769,                 0.8472,                0.54588,                 1.1123,                 1.0794,                 1.4965,              0.0012193,              0.0012193,              0.0012193
